,name,company,year,Price,kms_driven,fuel_type
72,Jaguar XF Portfolio,Jaguar,2016,1319000,160703,Diesel
73,Toyota Yaris VX,Toyota,2017,91000,118083,Diesel
74,Volkswagen Jetta Comfortline,Volkswagen,2022,160000,62816,Diesel
75,Renault Triber RXZ,Renault,2012,39000,83909,Petrol
76,Land Rover Freelander,Land,2008,991000,16937,Diesel
77,BMW 3 Series,BMW,2008,564000,110238,Diesel
78,Land Rover Freelander,Land,2020,1784000,99814,Diesel
79,Datsun redi-GO T,Datsun,2019,51000,143265,Petrol
80,Mercedes C-Class C220d,Mercedes,2014,1154000,88214,Diesel
81,Honda Civic 1.8,Honda,2019,163000,7169,Diesel
82,Mahindra KUV100 K8,Mahindra,2006,25000,121131,Diesel
83,Tata Nexon XZ,Tata,2012,39000,88573,Diesel
84,BMW 5 Series,BMW,2004,350000,123388,Petrol
85,Nissan Micra XV,Nissan,2022,163000,18087,Petrol
86,Tata Indica V2,Tata,2021,108000,40046,Petrol
87,Mitsubishi Pajero Sport,Mitsubishi,2016,91000,67272,Diesel
88,Land Rover Freelander,Land,2007,646000,81636,Petrol
89,Mitsubishi Lancer 1.8,Mitsubishi,2014,87000,52090,Petrol
90,Renault Duster 110,Renault,2011,35000,179474,Petrol
91,Hyundai Verna 1.6,Hyundai,2019,73000,112396,Diesel
92,Maruti Suzuki Ertiga,Maruti,2017,106000,27766,CNG
93,Audi A6 2.0,Audi,2015,1423000,46273,Diesel
94,Mercedes E-Class E220d,Mercedes,2015,979000,155413,Diesel
95,Mahindra Bolero SLE,Mahindra,2016,98000,64027,Diesel
96,Chevrolet Beat LT,Chevrolet,2017,55000,85300,Petrol
97,Volkswagen Ameo Highline,Volkswagen,2010,39000,156378,Diesel
98,Tata Indica V2,Tata,2009,28000,106642,Diesel
99,Mercedes GLA 200d,Mercedes,2017,1062000,117586,Petrol
100,Land Rover Freelander,Land,2011,788000,174153,Diesel
101,BMW X1 sDrive20d,BMW,2019,1776000,86814,Diesel
102,Volkswagen Vento Highline,Volkswagen,2005,32000,50584,Diesel
103,Land Rover Freelander,Land,2008,795000,56823,Diesel
104,Jeep Compass Limited,Jeep,2005,46000,50986,Diesel
105,Maruti Suzuki Omni,Maruti,2019,108000,33282,Diesel
106,Skoda Rapid Elegance,Skoda,2017,69000,115566,Diesel
107,Mercedes C-Class C220d,Mercedes,2004,343000,105143,Diesel
108,Hyundai Elite i20,Hyundai,2006,25000,147645,Diesel
109,Fiat Linea Active,Fiat,2021,77000,156371,Petrol
110,Audi Q3 35,Audi,2020,1522000,112515,Diesel
111,Ford Freestyle Titanium,Ford,2008,26000,164075,Petrol
112,Renault Kwid RXT,Renault,2019,101000,19777,Petrol
113,Volvo XC60 D5,Volvo,2011,968000,8656,Petrol
114,Audi A4 35,Audi,2023,2915000,61290,Diesel
115,Jaguar XE Prestige,Jaguar,2015,1753000,30187,Petrol
116,Honda City 1.5,Honda,2003,31000,43595,Diesel
117,Skoda Rapid Elegance,Skoda,2005,25000,122966,Diesel
118,Jeep Compass Limited,Jeep,2016,165000,21187,Petrol
119,Volvo XC60 D5,Volvo,2002,454000,24040,Petrol
120,Mitsubishi Pajero Sport,Mitsubishi,2023,191000,70750,Petrol
121,Jeep Compass Limited,Jeep,2010,82000,47676,Diesel
122,Mahindra TUV300 T8,Mahindra,2013,53000,107146,Diesel
123,Toyota Corolla Altis,Toyota,2015,74000,129984,Diesel
124,Fiat Punto Active,Fiat,2016,74000,23184,Diesel
125,Datsun GO Plus,Datsun,2002,25000,172501,Diesel
126,Nissan Terrano XL,Nissan,2017,63000,164047,Diesel
127,Fiat Punto Active,Fiat,2011,27000,114949,Diesel
128,Volvo S60 D4,Volvo,2007,494000,81561,Petrol
129,Ford Figo Aspire,Ford,2005,25000,169893,Petrol
130,Jeep Compass Limited,Jeep,2015,81000,126584,Diesel
131,Datsun GO T,Datsun,2021,68000,133332,Petrol
132,BMW 5 Series,BMW,2018,1534000,70137,Petrol
133,Mitsubishi Lancer 1.8,Mitsubishi,2006,28000,117159,Diesel
134,Fiat Linea Active,Fiat,2016,61000,84452,Petrol
135,Datsun GO T,Datsun,2015,68000,11541,Diesel
136,Datsun redi-GO T,Datsun,2023,75000,171022,Petrol
137,Jeep Compass Limited,Jeep,2005,32000,115523,Petrol
138,Honda WR-V i-VTEC,Honda,2022,172000,40564,Petrol
139,Chevrolet Tavera Neo,Chevrolet,2022,140000,21154,Diesel
140,Datsun redi-GO T,Datsun,2022,70000,128012,Petrol
141,Jaguar XF Portfolio,Jaguar,2009,1158000,23792,Diesel
142,Land Rover Freelander,Land,2016,2091000,43711,Diesel
143,Hyundai Creta 1.6,Hyundai,2013,46000,98362,Diesel
144,Mitsubishi Pajero Sport,Mitsubishi,2007,46000,45993,Petrol
145,Jaguar XE Prestige,Jaguar,2017,1197000,152971,Petrol
146,Audi Q3 35,Audi,2023,3919000,2563,Diesel
147,Toyota Innova 2.5,Toyota,2016,93000,90687,Diesel
148,Volkswagen Jetta Comfortline,Volkswagen,2011,66000,52323,Diesel
149,Datsun GO Plus,Datsun,2013,34000,150783,Diesel
150,Jaguar XF Portfolio,Jaguar,2010,1308000,2222,Petrol
151,Skoda Fabia Classic,Skoda,2021,123000,92458,Petrol
152,Jaguar XE Prestige,Jaguar,2022,3192000,25570,Petrol
153,Mitsubishi Lancer 1.8,Mitsubishi,2006,46000,23727,Diesel
154,Tata Nano Lx,Tata,2019,82000,96007,Diesel
155,Mercedes E-Class E220d,Mercedes,2012,1369000,30291,Diesel
156,Fiat Punto Active,Fiat,2016,54000,96722,Diesel
157,Nissan Micra XV,Nissan,2023,128000,61395,Diesel
158,Fiat Linea Active,Fiat,2021,105000,58130,Petrol
159,Land Rover Discovery,Land,2022,2023000,107132,Petrol
160,Skoda Rapid Elegance,Skoda,2005,41000,25578,Petrol
161,Audi Q3 35,Audi,2023,2028000,141708,Diesel
162,BMW X1 sDrive20d,BMW,2005,421000,128379,Diesel
163,Land Rover Discovery,Land,2008,662000,116330,Diesel
164,Ford Fiesta Classic,Ford,2013,41000,142828,Diesel
165,Ford Freestyle Titanium,Ford,2016,99000,24131,Petrol
166,Maruti Suzuki Alto,Maruti,2012,55000,63950,Petrol
167,Fiat Punto Active,Fiat,2020,89000,56710,Petrol
168,Volvo S60 D4,Volvo,2010,823000,38029,Petrol
169,Ford Fiesta Classic,Ford,2002,25000,34651,Petrol
170,Mitsubishi Lancer 1.8,Mitsubishi,2002,26000,45777,Diesel
171,Jeep Compass Longitude,Jeep,2004,33000,124945,Diesel
172,Ford Figo Aspire,Ford,2018,103000,58177,Petrol
173,Jaguar XF Portfolio,Jaguar,2016,1041000,168747,Petrol
174,Datsun redi-GO T,Datsun,2023,134000,28401,Diesel
175,Mahindra Thar CRDe,Mahindra,2021,160000,38984,Diesel
176,Mitsubishi Lancer 1.8,Mitsubishi,2014,61000,156702,Diesel
177,Ford Freestyle Titanium,Ford,2005,25000,171729,Petrol
178,BMW 5 Series,BMW,2016,1200000,104624,Diesel
179,Chevrolet Sail UVA,Chevrolet,2013,45000,40113,Diesel
180,Mahindra KUV100 K8,Mahindra,2005,28000,97787,Diesel
181,Fiat Linea Active,Fiat,2023,141000,32142,Diesel
182,BMW X1 sDrive20d,BMW,2003,386000,75500,Diesel
183,Tata Nano Lx,Tata,2023,102000,126503,Petrol
184,Fiat Linea Active,Fiat,2005,25000,73124,Petrol
185,Volvo S60 D4,Volvo,2021,1390000,172546,Diesel
186,Skoda Rapid Elegance,Skoda,2013,96000,1700,Petrol
187,Datsun GO T,Datsun,2006,25000,166082,Petrol
188,Datsun redi-GO T,Datsun,2016,44000,89463,Petrol
189,Mitsubishi Pajero Sport,Mitsubishi,2003,34000,40884,Petrol
190,Mahindra Bolero SLE,Mahindra,2016,71000,173623,Diesel
191,Volkswagen Vento Highline,Volkswagen,2018,129000,29936,Diesel
192,Jaguar XF Portfolio,Jaguar,2018,1315000,174984,Diesel
193,Volvo S60 D4,Volvo,2002,413000,53688,Diesel
194,Volkswagen Ameo Highline,Volkswagen,2012,70000,31553,Petrol
195,Honda WR-V i-VTEC,Honda,2019,111000,60422,Diesel
196,Hyundai i10 Sportz,Hyundai,2002,25000,120621,Petrol
197,Chevrolet Spark LT,Chevrolet,2021,64000,120711,Diesel
198,Renault Lodgy 110PS,Renault,2020,78000,105075,Petrol
199,Chevrolet Spark LT,Chevrolet,2012,43000,44174,Petrol
200,Jeep Compass Longitude,Jeep,2013,73000,92138,Petrol
201,Tata Nano Lx,Tata,2021,109000,40173,Petrol
202,Mercedes E-Class E220d,Mercedes,2020,1711000,152004,Diesel
203,Mini Cooper D,Mini,2022,1767000,82973,Petrol
204,Mini Cooper D,Mini,2010,459000,155137,Petrol
205,Audi A8,Audi,2003,556000,15013,Diesel
206,Mahindra KUV100 K8,Mahindra,2016,75000,152229,Petrol
207,Hyundai Venue SX,Hyundai,2020,81000,170975,Petrol
208,Honda City 1.5,Honda,2016,123000,27232,Diesel
209,Mini Cooper S,Mini,2003,388000,65044,Diesel
210,Volvo S60 D4,Volvo,2013,793000,97840,Diesel
211,Jaguar XE Prestige,Jaguar,2022,1928000,169787,Diesel
212,Jaguar XF Portfolio,Jaguar,2011,932000,66159,Petrol
213,Honda Jazz V,Honda,2011,39000,172080,Diesel
214,Mahindra Bolero SLE,Mahindra,2019,106000,98844,Petrol
215,Skoda Fabia Classic,Skoda,2008,34000,89683,Diesel
216,Honda City 1.5,Honda,2011,68000,26613,Petrol
217,Volvo S60 D4,Volvo,2021,1507000,98854,Petrol
218,Volvo S60 D4,Volvo,2016,1640000,11553,Diesel
219,Audi Q7,Audi,2011,615000,117783,Petrol
220,Mercedes C-Class C220d,Mercedes,2013,839000,177914,Diesel
221,Datsun GO Plus,Datsun,2018,51000,109849,Petrol
222,Honda Jazz V,Honda,2003,25000,168181,Diesel
223,Ford Fiesta Classic,Ford,2018,105000,32783,Diesel
224,Audi Q7,Audi,2006,422000,114780,Petrol
225,Audi Q3 35,Audi,2002,261000,108862,Petrol
226,Datsun GO T,Datsun,2013,39000,58961,Petrol
227,Land Rover Discovery,Land,2006,696000,36170,Petrol
228,Tata Nano Lx,Tata,2019,61000,159714,Diesel
229,Skoda Fabia Classic,Skoda,2003,28000,62605,Diesel
230,Mahindra Scorpio SLE,Mahindra,2017,66000,156531,Petrol
231,Renault Kwid RXT,Renault,2011,33000,112622,Petrol
232,BMW 3 Series,BMW,2023,1993000,175268,Petrol
233,Jeep Compass Longitude,Jeep,2014,77000,123343,Petrol
234,Volkswagen Polo Highline,Volkswagen,2013,81000,17810,Diesel
235,Ford Freestyle Titanium,Ford,2020,89000,87267,Petrol
236,Mini Cooper S,Mini,2023,1757000,121898,Diesel
237,Mahindra TUV300 T8,Mahindra,2003,25000,77024,Diesel
238,Hyundai Verna 1.6,Hyundai,2011,43000,135204,Diesel
239,Volkswagen Polo Highline,Volkswagen,2022,168000,50196,Diesel
240,Mini Cooper D,Mini,2010,778000,32730,Diesel
241,Audi A8,Audi,2012,1076000,49073,Diesel
242,Jeep Compass Limited,Jeep,2004,29000,111380,Petrol
243,Toyota Glanza G,Toyota,2011,50000,84303,Petrol
244,Skoda Rapid Elegance,Skoda,2021,109000,111803,Petrol
245,Hyundai Verna 1.6,Hyundai,2021,101000,114117,Diesel
246,Hyundai Grand i10,Hyundai,2023,114000,167220,Diesel
247,Jaguar XE Prestige,Jaguar,2002,448000,37528,Diesel
248,Mini Cooper D,Mini,2013,704000,100462,Petrol
249,Nissan Sunny XL,Nissan,2016,87000,20255,Petrol
250,Mini Cooper D,Mini,2009,733000,29839,Petrol
251,Datsun GO Plus,Datsun,2005,25000,68723,Diesel
252,Volvo XC60 D5,Volvo,2017,1341000,52575,Petrol
253,Toyota Yaris VX,Toyota,2016,134000,23113,Diesel
254,Fiat Linea Active,Fiat,2011,46000,41389,Petrol
255,Ford Figo,Ford,2006,29000,62158,Diesel
256,Nissan Sunny XL,Nissan,2019,97000,34118,Petrol
257,Land Rover Discovery,Land,2018,1711000,107787,Diesel
258,Chevrolet Beat LT,Chevrolet,2016,40000,122215,Diesel
259,Fiat Punto Active,Fiat,2006,25000,113508,Petrol
260,Skoda Fabia Classic,Skoda,2007,32000,84683,Petrol
261,Skoda Fabia Classic,Skoda,2010,51000,51559,Diesel
262,Fiat Punto Active,Fiat,2018,56000,168131,Petrol
263,Toyota Yaris VX,Toyota,2021,135000,158733,Diesel
264,Maruti Suzuki Swift,Maruti,2003,25000,168253,Diesel
265,BMW X1 sDrive20d,BMW,2022,3644000,8039,Diesel
266,Mini Cooper D,Mini,2017,1242000,64293,Diesel
267,Hyundai Elite i20,Hyundai,2016,62000,109052,Diesel
268,Honda Jazz V,Honda,2012,49000,90636,Diesel
269,Fiat Punto Active,Fiat,2012,40000,63470,Diesel
270,Honda City 1.5,Honda,2003,27000,76177,Diesel
271,Toyota Corolla Altis,Toyota,2020,141000,82076,Petrol
272,Jeep Compass Limited,Jeep,2017,114000,80982,Diesel
273,Jeep Compass Limited,Jeep,2009,62000,56498,Diesel
274,Volvo XC60 D5,Volvo,2011,629000,140790,Petrol
275,Volkswagen Ameo Highline,Volkswagen,2014,59000,96028,Petrol
276,Tata Tiago Revotron,Tata,2019,79000,75755,Petrol
277,Fiat Linea Active,Fiat,2021,66000,178462,Petrol
278,Nissan Sunny XL,Nissan,2019,71000,95941,Petrol
279,Jeep Compass Longitude,Jeep,2003,49000,10301,Petrol
280,Jeep Compass Limited,Jeep,2006,34000,159027,Petrol
281,Toyota Fortuner 3.0,Toyota,2021,156000,78542,Diesel
282,Mercedes GLA 200d,Mercedes,2020,2197000,78688,Diesel
283,Jaguar XE Prestige,Jaguar,2015,1191000,153114,Diesel
284,Land Rover Freelander,Land,2021,2265000,124510,Diesel
285,Mitsubishi Pajero Sport,Mitsubishi,2003,25000,153067,Diesel
286,Volvo XC60 D5,Volvo,2006,322000,178548,Petrol
287,Ford Figo,Ford,2002,25000,115715,Diesel
288,Tata Nexon XZ,Tata,2018,67000,160395,Diesel
289,Hyundai Elite i20,Hyundai,2018,117000,54453,Diesel
290,Datsun redi-GO T,Datsun,2007,25000,120598,Diesel
291,Jaguar XF Portfolio,Jaguar,2021,2070000,127024,Petrol
292,Skoda Fabia Classic,Skoda,2011,53000,75860,Petrol
293,Mercedes E-Class E220d,Mercedes,2019,1758000,71785,Diesel
294,Datsun redi-GO T,Datsun,2013,42000,38497,Diesel
295,Mahindra Thar CRDe,Mahindra,2016,76000,172059,Diesel
296,Fiat Linea Active,Fiat,2019,71000,71303,Petrol
297,Renault Kwid RXT,Renault,2003,25000,175692,Petrol
298,BMW 5 Series,BMW,2017,1613000,26457,Petrol
299,Toyota Fortuner 3.0,Toyota,2022,142000,124801,Diesel
300,Skoda Rapid Elegance,Skoda,2011,44000,169418,Petrol
301,Mitsubishi Pajero Sport,Mitsubishi,2019,162000,9877,Petrol
302,Mitsubishi Pajero Sport,Mitsubishi,2012,73000,74696,Diesel
303,Mercedes C-Class C220d,Mercedes,2018,1258000,122788,Diesel
304,Chevrolet Sail UVA,Chevrolet,2020,57000,176890,Petrol
305,Datsun redi-GO T,Datsun,2018,55000,86064,Petrol
306,Honda WR-V i-VTEC,Honda,2012,56000,65124,Petrol
307,Volkswagen Ameo Highline,Volkswagen,2011,38000,152788,Petrol
308,Renault Duster 110,Renault,2023,160000,31091,Diesel
309,Jeep Compass Limited,Jeep,2005,33000,167534,Diesel
310,Honda WR-V i-VTEC,Honda,2006,26000,119369,Diesel
311,Mercedes GLA 200d,Mercedes,2023,3029000,57355,Petrol
312,Mahindra TUV300 T8,Mahindra,2018,107000,94939,Diesel
313,Fiat Punto Active,Fiat,2020,61000,140782,Petrol
314,Audi A4 35,Audi,2023,2554000,53944,Diesel
315,Hyundai Venue SX,Hyundai,2006,25000,134644,Diesel
316,Audi Q3 35,Audi,2002,313000,103895,Diesel
317,Mitsubishi Pajero Sport,Mitsubishi,2003,25000,111169,Diesel
318,Hyundai Grand i10,Hyundai,2017,115000,8419,Diesel
319,Mini Cooper D,Mini,2013,786000,100364,Diesel
320,Datsun GO T,Datsun,2023,78000,173584,Petrol
321,Toyota Glanza G,Toyota,2014,65000,138732,Petrol
322,Maruti Suzuki Alto,Maruti,2011,34000,121473,CNG
323,Renault Lodgy 110PS,Renault,2013,58000,40764,Diesel
324,Ford EcoSport Titanium,Ford,2023,108000,110001,Petrol
325,Volvo S60 D4,Volvo,2016,874000,156805,Petrol
326,Audi A6 2.0,Audi,2019,1663000,57055,Petrol
327,Renault Triber RXZ,Renault,2020,74000,156840,Diesel
328,Jaguar XE Prestige,Jaguar,2015,1238000,78874,Diesel
329,Toyota Yaris VX,Toyota,2023,135000,112088,Diesel
330,Mini Cooper D,Mini,2018,1257000,83654,Diesel
331,Toyota Glanza G,Toyota,2017,106000,63268,Petrol
332,Audi A4 35,Audi,2019,1423000,108280,Diesel
333,Renault Triber RXZ,Renault,2008,32000,86676,Petrol
334,Mahindra XUV500 W8,Mahindra,2003,28000,70475,Diesel
335,Mahindra XUV500 W8,Mahindra,2020,92000,176116,Petrol
336,Chevrolet Sail UVA,Chevrolet,2002,25000,55624,Petrol
337,Mercedes C-Class C220d,Mercedes,2021,2828000,53711,Diesel
338,Skoda Rapid Elegance,Skoda,2016,65000,139993,Diesel
339,Mercedes E-Class E220d,Mercedes,2005,438000,123174,Diesel
340,BMW 3 Series,BMW,2020,1842000,58105,Petrol
341,Mitsubishi Lancer 1.8,Mitsubishi,2011,65000,40053,Petrol
342,Renault Lodgy 110PS,Renault,2019,68000,171701,Diesel
343,Mini Cooper D,Mini,2016,1212000,44201,Diesel
344,Mercedes C-Class C220d,Mercedes,2019,1429000,168346,Petrol
345,Mahindra Jeep CL550,Mahindra,2002,25000,108206,Diesel
346,Land Rover Freelander,Land,2002,461000,57436,Diesel
347,Jaguar XF Portfolio,Jaguar,2023,1986000,127988,Petrol
348,Maruti Suzuki Alto,Maruti,2018,80000,72121,Diesel
349,Jaguar XF Portfolio,Jaguar,2007,808000,28153,Petrol
350,Volvo XC60 D5,Volvo,2013,866000,70177,Diesel
351,Audi Q7,Audi,2009,768000,59307,Diesel
352,Mini Cooper S,Mini,2004,288000,106341,Diesel
353,Mini Cooper S,Mini,2007,677000,21775,Diesel
354,Chevrolet Beat LT,Chevrolet,2018,82000,11254,Petrol
355,Mitsubishi Lancer 1.8,Mitsubishi,2010,73000,12305,Petrol
356,Fiat Punto Active,Fiat,2007,26000,82540,Petrol
357,Land Rover Discovery,Land,2004,494000,78553,Petrol
358,Datsun GO Plus,Datsun,2019,68000,87060,Diesel
359,Land Rover Freelander,Land,2018,1529000,90764,Petrol
360,Mahindra Thar CRDe,Mahindra,2021,106000,161021,Petrol
361,Maruti Suzuki Eeco,Maruti,2010,29000,118209,CNG
362,Datsun redi-GO T,Datsun,2007,25000,178277,Diesel
363,Renault Duster 110,Renault,2004,25000,70347,Petrol
364,Skoda Rapid Elegance,Skoda,2013,58000,70817,Petrol
365,Audi Q7,Audi,2019,1233000,134433,Diesel
366,BMW 5 Series,BMW,2004,336000,146779,Petrol
367,Datsun GO T,Datsun,2006,25000,70595,Diesel
368,Toyota Fortuner 3.0,Toyota,2010,45000,110489,Diesel
369,Volkswagen Vento Highline,Volkswagen,2022,113000,130071,Petrol
370,Maruti Suzuki Ertiga,Maruti,2012,40000,162679,CNG
371,Chevrolet Tavera Neo,Chevrolet,2022,70000,155916,Petrol
372,Land Rover Freelander,Land,2017,1801000,82461,Petrol
373,Skoda Octavia Elegance,Skoda,2022,109000,128814,Petrol
374,Datsun redi-GO T,Datsun,2005,25000,147910,Petrol
375,Jaguar XE Prestige,Jaguar,2016,1856000,55058,Diesel
376,Mahindra KUV100 K8,Mahindra,2023,142000,130989,Diesel
377,Jaguar XE Prestige,Jaguar,2015,1149000,98925,Petrol
378,Mitsubishi Lancer 1.8,Mitsubishi,2019,100000,132905,Diesel
379,Nissan Terrano XL,Nissan,2019,62000,155766,Petrol
380,Jaguar XF Portfolio,Jaguar,2007,506000,169707,Petrol
381,Mini Cooper D,Mini,2012,507000,112941,Petrol
382,Jeep Compass Longitude,Jeep,2016,104000,98173,Diesel
383,Land Rover Freelander,Land,2013,1535000,6538,Diesel
384,Mahindra Scorpio SLE,Mahindra,2006,31000,91412,Diesel
385,Jeep Compass Limited,Jeep,2013,67000,124923,Petrol
386,Chevrolet Beat LT,Chevrolet,2011,40000,11813,Petrol
387,Ford Fiesta Classic,Ford,2007,34000,64040,Petrol
388,BMW 5 Series,BMW,2009,512000,106280,Petrol
389,Datsun GO T,Datsun,2021,96000,51827,Diesel
390,Land Rover Freelander,Land,2008,746000,73066,Petrol
391,Fiat Punto Active,Fiat,2013,40000,85554,Petrol
392,Mercedes GLA 200d,Mercedes,2022,2480000,82257,Diesel
393,Nissan Sunny XL,Nissan,2016,56000,161937,Petrol
394,Skoda Octavia Elegance,Skoda,2020,149000,22317,Petrol
395,Ford Figo,Ford,2013,70000,37156,Diesel
396,Datsun redi-GO T,Datsun,2007,25000,127677,Petrol
397,Honda Amaze S,Honda,2012,48000,118327,Petrol
398,Mercedes C-Class C220d,Mercedes,2008,561000,100748,Diesel
399,Land Rover Discovery,Land,2017,2025000,43944,Petrol
400,Renault Triber RXZ,Renault,2003,25000,72151,Petrol
401,Audi Q7,Audi,2017,1093000,144207,Petrol
402,Fiat Linea Active,Fiat,2019,111000,11007,Diesel
403,Ford Fiesta Classic,Ford,2022,158000,64988,Diesel
404,Volkswagen Ameo Highline,Volkswagen,2004,25000,115199,Petrol
405,Mitsubishi Lancer 1.8,Mitsubishi,2021,110000,165977,Diesel
406,Tata Nano Lx,Tata,2003,25000,149541,Diesel
407,Toyota Corolla Altis,Toyota,2011,68000,75946,Diesel
408,Jaguar XE Prestige,Jaguar,2006,523000,107997,Petrol
409,Honda Brio S,Honda,2006,35000,65551,Petrol
410,Jaguar XF Portfolio,Jaguar,2017,2140000,37369,Diesel
411,Mahindra Scorpio SLE,Mahindra,2014,53000,135264,Petrol
412,Nissan Sunny XL,Nissan,2017,74000,85896,Petrol
413,Mahindra TUV300 T8,Mahindra,2022,115000,174201,Petrol
414,Fiat Linea Active,Fiat,2008,25000,112728,Petrol
415,Skoda Rapid Elegance,Skoda,2019,87000,151601,Petrol
416,Chevrolet Beat LT,Chevrolet,2003,25000,26202,Diesel
417,Toyota Fortuner 3.0,Toyota,2016,132000,277,Diesel
418,Honda Brio S,Honda,2011,58000,41774,Diesel
419,Mahindra Thar CRDe,Mahindra,2023,123000,170208,Diesel
420,Mercedes C-Class C220d,Mercedes,2006,419000,155729,Petrol
421,Maruti Suzuki Omni,Maruti,2012,61000,31712,CNG
422,Renault Lodgy 110PS,Renault,2004,26000,26950,Petrol
423,Honda WR-V i-VTEC,Honda,2006,25000,168285,Petrol
424,Volvo S60 D4,Volvo,2016,1102000,92161,Petrol
425,BMW X1 sDrive20d,BMW,2023,1785000,116068,Petrol
426,Ford Endeavour 4x4,Ford,2014,55000,92252,Diesel
