name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Omni E STD,Maruti,2019,"1,08,000","33,282 kms",Diesel
Skoda Octavia Elegance 1.8 TSI,Skoda,2006,Ask For Price,"1,67,313 kms",Diesel
Skoda Rapid Elegance 1.6 MPI,Skoda,2017,"69,000","1,15,566 kms",Diesel
Mercedes C-Class C220d,Mercedes,2004,"3,43,000","1,05,143 kms",Diesel
Hyundai Elite i20 Magna 1.2,Hyundai,2006,"25,000","1,47,645 kms",Diesel
Fiat Linea Active,Fiat,2021,"77,000","1,56,371 kms",Petrol
Audi Q3 35 TDI,Audi,2020,"15,22,000","1,12,515 kms",Diesel
Ford Freestyle Titanium,Ford,2008,"26,000","1,64,075 kms",Petrol
Renault Kwid RXT,Renault,2019,"1,01,000","19,777 kms",Petrol
Volvo XC60 D5,Volvo,2011,"9,68,000","8,656 kms",Petrol
Audi A4 35 TDI,Audi,2023,"29,15,000","61,290 kms",Diesel
Jaguar XE Prestige,Jaguar,2015,"17,53,000","30,187 kms",Petrol
Honda City 1.5 S MT,Honda,2003,"31,000","43,595 kms",Diesel
Skoda Rapid Elegance 1.6 MPI,Skoda,2005,"25,000","1,22,966 kms",Diesel
Jeep Compass Limited,Jeep,2016,"1,65,000","21,187 kms",Petrol
Volvo XC60 D5,Volvo,2002,"4,54,000","24,040 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2023,"1,91,000","70,750 kms",Petrol
Jeep Compass Limited,Jeep,2010,"82,000","47,676 kms",Diesel
Mahindra TUV300 T8,Mahindra,2013,"53,000","1,07,146 kms",Diesel
Toyota Corolla Altis G,Toyota,2015,"74,000","1,29,984 kms",Diesel
Fiat Punto Active,Fiat,2016,"74,000","23,184 kms",Diesel
Datsun GO Plus T,Datsun,2002,"25,000","1,72,501 kms",Diesel
Nissan Terrano XL,Nissan,2017,"63,000","1,64,047 kms",Diesel
Fiat Punto Active,Fiat,2011,"27,000","1,14,949 kms",Diesel
Volvo S60 D4,Volvo,2007,"4,94,000","81,561 kms",Petrol
Ford Figo Aspire Titanium,Ford,2005,"25,000","1,69,893 kms",Petrol
Jeep Compass Limited,Jeep,2015,"81,000","1,26,584 kms",Diesel
Datsun GO T,Datsun,2021,"68,000","1,33,332 kms",Petrol
BMW 5 Series 520d,BMW,2018,"15,34,000","70,137 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2006,"28,000","1,17,159 kms",Diesel
Fiat Linea Active,Fiat,2016,"61,000","84,452 kms",Petrol
Datsun GO T,Datsun,2015,"68,000","11,541 kms",Diesel
Datsun redi-GO T,Datsun,2023,"75,000","1,71,022 kms",Petrol
Jeep Compass Limited,Jeep,2005,"32,000","1,15,523 kms",Petrol
Honda WR-V i-VTEC VX,Honda,2022,"1,72,000","40,564 kms",Petrol
Chevrolet Tavera Neo 3,Chevrolet,2022,"1,40,000","21,154 kms",Diesel
Datsun redi-GO T,Datsun,2022,"70,000","1,28,012 kms",Petrol
Jaguar XF Portfolio,Jaguar,2009,"11,58,000","23,792 kms",Diesel
Land Rover Freelander 2,Land,2016,"20,91,000","43,711 kms",Diesel
Hyundai Creta 1.6 SX Option,Hyundai,2013,"46,000","98,362 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2007,"46,000","45,993 kms",Petrol
Jaguar XE Prestige,Jaguar,2017,"11,97,000","1,52,971 kms",Petrol
Audi Q3 35 TDI,Audi,2023,"39,19,000","2,563 kms",Diesel
Toyota Innova 2.5 G,Toyota,2016,"93,000","90,687 kms",Diesel
Volkswagen Jetta Comfortline TDI,Volkswagen,2011,"66,000","52,323 kms",Diesel
Datsun GO Plus T,Datsun,2013,"34,000","1,50,783 kms",Diesel
Jaguar XF Portfolio,Jaguar,2010,"13,08,000","2,222 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2021,"1,23,000","92,458 kms",Petrol
Jaguar XE Prestige,Jaguar,2022,"31,92,000","25,570 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2006,"46,000","23,727 kms",Diesel
Tata Nano Lx,Tata,2019,"82,000","96,007 kms",Diesel
Mercedes E-Class E220d,Mercedes,2012,"13,69,000","30,291 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2019,Ask For Price,"95,985 kms",Petrol
Fiat Punto Active,Fiat,2016,"54,000","96,722 kms",Diesel
Nissan Micra XV,Nissan,2023,"1,28,000","61,395 kms",Diesel
Fiat Linea Active,Fiat,2021,"1,05,000","58,130 kms",Petrol
Land Rover Discovery Sport,Land,2022,"20,23,000","1,07,132 kms",Petrol
Skoda Rapid Elegance 1.6 MPI,Skoda,2005,"41,000","25,578 kms",Petrol
Audi Q3 35 TDI,Audi,2023,"20,28,000","1,41,708 kms",Diesel
BMW X1 sDrive20d,BMW,2005,"4,21,000","1,28,379 kms",Diesel
Land Rover Discovery Sport,Land,2008,"6,62,000","1,16,330 kms",Diesel
Ford Fiesta Classic CLXi,Ford,2013,"41,000","1,42,828 kms",Diesel
Ford Freestyle Titanium,Ford,2016,"99,000","24,131 kms",Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2012,"55,000","63,950 kms",Petrol
Fiat Punto Active,Fiat,2020,"89,000","56,710 kms",Petrol
Volvo S60 D4,Volvo,2010,"8,23,000","38,029 kms",Petrol
Ford Fiesta Classic CLXi,Ford,2002,"25,000","34,651 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2002,"26,000","45,777 kms",Diesel
Jeep Compass Longitude,Jeep,2004,"33,000","1,24,945 kms",Diesel
Ford Figo Aspire Titanium,Ford,2018,"1,03,000","58,177 kms",Petrol
Jaguar XF Portfolio,Jaguar,2016,"10,41,000","1,68,747 kms",Petrol
Datsun redi-GO T,Datsun,2023,"1,34,000","28,401 kms",Diesel
Mahindra Thar CRDe 4x4,Mahindra,2021,"1,60,000","38,984 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2014,"61,000","1,56,702 kms",Diesel
Ford Freestyle Titanium,Ford,2005,"25,000","1,71,729 kms",Petrol
BMW 5 Series 520d,BMW,2016,"12,00,000","1,04,624 kms",Diesel
Chevrolet Sail UVA LS,Chevrolet,2013,"45,000","40,113 kms",Diesel
Mahindra KUV100 K8,Mahindra,2005,"28,000","97,787 kms",Diesel
Fiat Linea Active,Fiat,2023,"1,41,000","32,142 kms",Diesel
BMW X1 sDrive20d,BMW,2003,"3,86,000","75,500 kms",Diesel
Tata Nano Lx,Tata,2023,"1,02,000","1,26,503 kms",Petrol
Fiat Linea Active,Fiat,2005,"25,000","73,124 kms",Petrol
Volvo S60 D4,Volvo,2021,"13,90,000","1,72,546 kms",Diesel
Skoda Rapid Elegance 1.6 MPI,Skoda,2013,"96,000","1,700 kms",Petrol
Datsun GO T,Datsun,2006,"25,000","1,66,082 kms",Petrol
Datsun redi-GO T,Datsun,2016,"44,000","89,463 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2003,"34,000","40,884 kms",Petrol
Mahindra Bolero SLE,Mahindra,2016,"71,000","1,73,623 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2018,"1,29,000","29,936 kms",Diesel
Jaguar XF Portfolio,Jaguar,2018,"13,15,000","1,74,984 kms",Diesel
Volvo S60 D4,Volvo,2002,"4,13,000","53,688 kms",Diesel
Volkswagen Ameo Highline 1.5,Volkswagen,2012,"70,000","31,553 kms",Petrol
Honda WR-V i-VTEC VX,Honda,2019,"1,11,000","60,422 kms",Diesel
Hyundai i10 Sportz,Hyundai,2002,"25,000","1,20,621 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2022,Ask For Price,"1,09,595 kms",Diesel
Chevrolet Spark LT,Chevrolet,2021,"64,000","1,20,711 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2020,"78,000","1,05,075 kms",Petrol
Chevrolet Spark LT,Chevrolet,2012,"43,000","44,174 kms",Petrol
Jeep Compass Longitude,Jeep,2013,"73,000","92,138 kms",Petrol
Tata Nano Lx,Tata,2021,"1,09,000","40,173 kms",Petrol
Mercedes E-Class E220d,Mercedes,2020,"17,11,000","1,52,004 kms",Diesel
Mini Cooper D,Mini,2022,"17,67,000","82,973 kms",Petrol
Mini Cooper D,Mini,2010,"4,59,000","1,55,137 kms",Petrol
Audi A8,Audi,2003,"5,56,000","15,013 kms",Diesel
Mahindra KUV100 K8,Mahindra,2016,"75,000","1,52,229 kms",Petrol
Hyundai Venue SX,Hyundai,2020,"81,000","1,70,975 kms",Petrol
Honda City 1.5 S MT,Honda,2016,"1,23,000","27,232 kms",Diesel
Mini Cooper S,Mini,2003,"3,88,000","65,044 kms",Diesel
Volvo S60 D4,Volvo,2013,"7,93,000","97,840 kms",Diesel
Jaguar XE Prestige,Jaguar,2022,"19,28,000","1,69,787 kms",Diesel
Jaguar XF Portfolio,Jaguar,2011,"9,32,000","66,159 kms",Petrol
Honda Jazz V,Honda,2011,"39,000","1,72,080 kms",Diesel
Mahindra Bolero SLE,Mahindra,2019,"1,06,000","98,844 kms",Petrol
Jaguar XE Prestige,Jaguar,2022,Ask For Price,"1,75,856 kms",Diesel
Skoda Fabia Classic 1.2 MPI,Skoda,2008,"34,000","89,683 kms",Diesel
Honda City 1.5 S MT,Honda,2011,"68,000","26,613 kms",Petrol
Volvo S60 D4,Volvo,2021,"15,07,000","98,854 kms",Petrol
Volvo S60 D4,Volvo,2016,"16,40,000","11,553 kms",Diesel
Audi Q7,Audi,2011,"6,15,000","1,17,783 kms",Petrol
Mercedes C-Class C220d,Mercedes,2013,"8,39,000","1,77,914 kms",Diesel
Datsun GO Plus T,Datsun,2018,"51,000","1,09,849 kms",Petrol
Honda Jazz V,Honda,2003,"25,000","1,68,181 kms",Diesel
Ford Fiesta Classic CLXi,Ford,2018,"1,05,000","32,783 kms",Diesel
Audi Q7,Audi,2006,"4,22,000","1,14,780 kms",Petrol
Audi Q3 35 TDI,Audi,2002,"2,61,000","1,08,862 kms",Petrol
Datsun GO T,Datsun,2013,"39,000","58,961 kms",Petrol
Land Rover Discovery Sport,Land,2006,"6,96,000","36,170 kms",Petrol
Land Rover Freelander 2,Land,2017,Ask For Price,"1,17,698 kms",Petrol
Tata Nano Lx,Tata,2019,"61,000","1,59,714 kms",Diesel
Skoda Fabia Classic 1.2 MPI,Skoda,2003,"28,000","62,605 kms",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2017,"66,000","1,56,531 kms",Petrol
Renault Kwid RXT,Renault,2011,"33,000","1,12,622 kms",Petrol
BMW 3 Series 320d,BMW,2023,"19,93,000","1,75,268 kms",Petrol
Jeep Compass Longitude,Jeep,2014,"77,000","1,23,343 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2013,"81,000","17,810 kms",Diesel
Ford Freestyle Titanium,Ford,2020,"89,000","87,267 kms",Petrol
Mini Cooper S,Mini,2023,"17,57,000","1,21,898 kms",Diesel
Mahindra TUV300 T8,Mahindra,2003,"25,000","77,024 kms",Diesel
Hyundai Verna 1.6 SX,Hyundai,2011,"43,000","1,35,204 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2022,"1,68,000","50,196 kms",Diesel
Mini Cooper D,Mini,2010,"7,78,000","32,730 kms",Diesel
Audi A8,Audi,2012,"10,76,000","49,073 kms",Diesel
Jeep Compass Limited,Jeep,2004,"29,000","1,11,380 kms",Petrol
Toyota Glanza G,Toyota,2011,"50,000","84,303 kms",Petrol
Skoda Rapid Elegance 1.6 MPI,Skoda,2021,"1,09,000","1,11,803 kms",Petrol
Hyundai Verna 1.6 SX,Hyundai,2021,"1,01,000","1,14,117 kms",Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2023,"1,14,000","1,67,220 kms",Diesel
Jaguar XE Prestige,Jaguar,2002,"4,48,000","37,528 kms",Diesel
Mini Cooper D,Mini,2013,"7,04,000","1,00,462 kms",Petrol
Nissan Sunny XL,Nissan,2016,"87,000","20,255 kms",Petrol
Mini Cooper D,Mini,2009,"7,33,000","29,839 kms",Petrol
Datsun GO Plus T,Datsun,2005,"25,000","68,723 kms",Diesel
Volvo XC60 D5,Volvo,2017,"13,41,000","52,575 kms",Petrol
Toyota Yaris VX,Toyota,2016,"1,34,000","23,113 kms",Diesel
Fiat Linea Active,Fiat,2011,"46,000","41,389 kms",Petrol
Ford Figo,Ford,2006,"29,000","62,158 kms",Diesel
Nissan Sunny XL,Nissan,2019,"97,000","34,118 kms",Petrol
Land Rover Discovery Sport,Land,2018,"17,11,000","1,07,787 kms",Diesel
Chevrolet Beat LT,Chevrolet,2016,"40,000","1,22,215 kms",Diesel
Fiat Punto Active,Fiat,2006,"25,000","1,13,508 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2007,"32,000","84,683 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2010,"51,000","51,559 kms",Diesel
Fiat Punto Active,Fiat,2018,"56,000","1,68,131 kms",Petrol
Toyota Yaris VX,Toyota,2021,"1,35,000","1,58,733 kms",Diesel
Maruti Suzuki Swift Vdi,Maruti,2003,"25,000","1,68,253 kms",Diesel
BMW X1 sDrive20d,BMW,2022,"36,44,000","8,039 kms",Diesel
Mini Cooper D,Mini,2017,"12,42,000","64,293 kms",Diesel
Hyundai Elite i20 Magna 1.2,Hyundai,2016,"62,000","1,09,052 kms",Diesel
Honda Jazz V,Honda,2012,"49,000","90,636 kms",Diesel
Fiat Punto Active,Fiat,2012,"40,000","63,470 kms",Diesel
Honda City 1.5 S MT,Honda,2003,"27,000","76,177 kms",Diesel
Toyota Corolla Altis G,Toyota,2020,"1,41,000","82,076 kms",Petrol
Jeep Compass Limited,Jeep,2017,"1,14,000","80,982 kms",Diesel
Jeep Compass Limited,Jeep,2009,"62,000","56,498 kms",Diesel
Volvo XC60 D5,Volvo,2011,"6,29,000","1,40,790 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2014,"59,000","96,028 kms",Petrol
Tata Tiago Revotron XZ,Tata,2019,"79,000","75,755 kms",Petrol
Fiat Linea Active,Fiat,2021,"66,000","1,78,462 kms",Petrol
Nissan Sunny XL,Nissan,2019,"71,000","95,941 kms",Petrol
Jeep Compass Longitude,Jeep,2003,"49,000","10,301 kms",Petrol
Jeep Compass Limited,Jeep,2006,"34,000","1,59,027 kms",Petrol
Toyota Fortuner 3.0 4x4 AT,Toyota,2021,"1,56,000","78,542 kms",Diesel
Mercedes GLA 200d,Mercedes,2020,"21,97,000","78,688 kms",Diesel
Jaguar XE Prestige,Jaguar,2015,"11,91,000","1,53,114 kms",Diesel
Land Rover Freelander 2,Land,2021,"22,65,000","1,24,510 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2003,"25,000","1,53,067 kms",Diesel
Volvo XC60 D5,Volvo,2006,"3,22,000","1,78,548 kms",Petrol
Ford Figo,Ford,2002,"25,000","1,15,715 kms",Diesel
Tata Nexon XZ Plus,Tata,2018,"67,000","1,60,395 kms",Diesel
Hyundai Elite i20 Magna 1.2,Hyundai,2018,"1,17,000","54,453 kms",Diesel
Datsun redi-GO T,Datsun,2007,"25,000","1,20,598 kms",Diesel
Jaguar XF Portfolio,Jaguar,2021,"20,70,000","1,27,024 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2011,"53,000","75,860 kms",Petrol
Mercedes E-Class E220d,Mercedes,2019,"17,58,000","71,785 kms",Diesel
Datsun redi-GO T,Datsun,2013,"42,000","38,497 kms",Diesel
Mahindra Thar CRDe 4x4,Mahindra,2016,"76,000","1,72,059 kms",Diesel
Fiat Linea Active,Fiat,2019,"71,000","71,303 kms",Petrol
Renault Kwid RXT,Renault,2003,"25,000","1,75,692 kms",Petrol
BMW 5 Series 520d,BMW,2017,"16,13,000","26,457 kms",Petrol
Toyota Fortuner 3.0 4x4 AT,Toyota,2022,"1,42,000","1,24,801 kms",Diesel
Skoda Rapid Elegance 1.6 MPI,Skoda,2011,"44,000","1,69,418 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2019,"1,62,000","9,877 kms",Petrol
Hyundai i10 Sportz,Hyundai,2017,Ask For Price,"48,940 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2012,"73,000","74,696 kms",Diesel
Mercedes C-Class C220d,Mercedes,2018,"12,58,000","1,22,788 kms",Diesel
Toyota Yaris VX,Toyota,2016,Ask For Price,"1,70,044 kms",Diesel
Chevrolet Sail UVA LS,Chevrolet,2020,"57,000","1,76,890 kms",Petrol
Datsun redi-GO T,Datsun,2018,"55,000","86,064 kms",Petrol
Honda WR-V i-VTEC VX,Honda,2012,"56,000","65,124 kms",Petrol
Volkswagen Ameo Highline 1.5,Volkswagen,2011,"38,000","1,52,788 kms",Petrol
Renault Duster 110 PS RxL,Renault,2023,"1,60,000","31,091 kms",Diesel
Jeep Compass Limited,Jeep,2005,"33,000","1,67,534 kms",Diesel
Honda WR-V i-VTEC VX,Honda,2006,"26,000","1,19,369 kms",Diesel
Mercedes GLA 200d,Mercedes,2023,"30,29,000","57,355 kms",Petrol
Mahindra TUV300 T8,Mahindra,2018,"1,07,000","94,939 kms",Diesel
Fiat Punto Active,Fiat,2020,"61,000","1,40,782 kms",Petrol
Audi A4 35 TDI,Audi,2023,"25,54,000","53,944 kms",Diesel
Hyundai Venue SX,Hyundai,2006,"25,000","1,34,644 kms",Diesel
Audi Q3 35 TDI,Audi,2002,"3,13,000","1,03,895 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2003,"25,000","1,11,169 kms",Diesel
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2017,"1,15,000","8,419 kms",Diesel
Mini Cooper D,Mini,2013,"7,86,000","1,00,364 kms",Diesel
Datsun GO T,Datsun,2023,"78,000","1,73,584 kms",Petrol
Toyota Glanza G,Toyota,2014,"65,000","1,38,732 kms",Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2011,"34,000","1,21,473 kms",CNG
Renault Lodgy 110PS RxZ 8 Str,Renault,2013,"58,000","40,764 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2023,"1,08,000","1,10,001 kms",Petrol
Volvo S60 D4,Volvo,2016,"8,74,000","1,56,805 kms",Petrol
Audi A6 2.0 TDI,Audi,2019,"16,63,000","57,055 kms",Petrol
Renault Triber RXZ,Renault,2020,"74,000","1,56,840 kms",Diesel
Jaguar XE Prestige,Jaguar,2015,"12,38,000","78,874 kms",Diesel
Toyota Yaris VX,Toyota,2023,"1,35,000","1,12,088 kms",Diesel
Mini Cooper D,Mini,2018,"12,57,000","83,654 kms",Diesel
Toyota Glanza G,Toyota,2017,"1,06,000","63,268 kms",Petrol
Audi A4 35 TDI,Audi,2019,"14,23,000","1,08,280 kms",Diesel
Renault Triber RXZ,Renault,2008,"32,000","86,676 kms",Petrol
Mahindra XUV500 W8,Mahindra,2003,"28,000","70,475 kms",Diesel
Mahindra XUV500 W8,Mahindra,2020,"92,000","1,76,116 kms",Petrol
Chevrolet Sail UVA LS,Chevrolet,2002,"25,000","55,624 kms",Petrol
